listing_id,title,price,currency,bedrooms,bathrooms,area_m2,furnished,floor,location,details_raw,url
279975907,50 m2 1 Bedroom Apartments for Rent in Amman University Street,20,JOD,1,1,50,Furnished,Third Floor,"University Street, Amman",1 Bedroom | One Bathroom | Furnished | Surface Area: 50 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/279975907
280262621,120 m2 2 Bedrooms Apartments for Rent in Amman Abdoun,750,JOD,2,2,120,Furnished,First Floor,"Abdoun, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 120 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280262621
280790180,215 m2 3 Bedrooms Apartments for Rent in Amman Jubaiha,750,JOD,3,3,215,Unfurnished,First Floor,"Jubaiha, Amman",3 Bedrooms | 3 Bathrooms | Unfurnished | Surface Area: 215 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280790180
278576205,40 m2 Studio Apartments for Rent in Amman University Street,160,JOD,0,1,40,Furnished,Second Floor,"University Street, Amman",Studio | One Bathroom | Furnished | Surface Area: 40 m2 | Second Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/278576205
280684559,125 m2 3 Bedrooms Apartments for Rent in Amman Shafa Badran,700,JOD,3,3,125,Furnished,Third Floor,"Shafa Badran, Amman",3 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 125 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280684559
280601065,171 m2 3 Bedrooms Apartments for Rent in Amman Um El Summaq,5000,JOD,3,3,171,Unfurnished,First Floor,"Um El Summaq, Amman",3 Bedrooms | 3 Bathrooms | Unfurnished | Surface Area: 171 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280601065
273141751,40 m2 Studio Apartments for Rent in Amman Tla' Ali,25,JOD,0,1,40,Furnished,First Floor,"Tla' Ali, Amman",Studio | One Bathroom | Furnished | Surface Area: 40 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/273141751
278957413,90 m2 2 Bedrooms Apartments for Rent in Amman Jubaiha,750,JOD,2,2,90,Furnished,Ground Floor,"Jubaiha, Amman",2 Bedrooms | 2 Bathrooms | Furnished | Surface Area: 90 m2 | Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/278957413
280024517,175 m2 3 Bedrooms Apartments for Rent in Amman Deir Ghbar,1000,JOD,3,3,175,Furnished,Semi Ground Floor,"Deir Ghbar, Amman",3 Bedrooms | 3 Bathrooms | Furnished | Surface Area: 175 m2 | Semi Ground Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/280024517
278134953,25 m2 Studio Apartments for Rent in Amman Tla' Ali,230,JOD,0,1,25,Furnished,First Floor,"Tla' Ali, Amman",Studio | One Bathroom | Furnished | Surface Area: 25 m2 | First Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/278134953
268866429,32 m2 Studio Apartments for Rent in Amman 7th Circle,20,JOD,0,1,32,Furnished,Third Floor,"7th Circle, Amman",Studio | One Bathroom | Furnished | Surface Area: 32 m2 | Third Floor | For Rent | Apartments,https://jo.opensooq.com/en/search/268866429
